35629,-1,-1,-1,-1,-1,-1,-1,-1,-1
2698,1,-1,-1,-1,-1,-1,-1,-1,-1
1205,-1,1,-1,-1,-1,-1,-1,-1,-1
52,1,1,-1,-1,-1,-1,-1,-1,-1
657,-1,-1,1,-1,-1,-1,-1,-1,-1
344,1,-1,1,-1,-1,-1,-1,-1,-1
164,-1,1,1,-1,-1,-1,-1,-1,-1
37,1,1,1,-1,-1,-1,-1,-1,-1
1161,-1,-1,-1,1,-1,-1,-1,-1,-1
645,1,-1,-1,1,-1,-1,-1,-1,-1
47,-1,1,-1,1,-1,-1,-1,-1,-1
10,1,1,-1,1,-1,-1,-1,-1,-1
19,-1,-1,1,1,-1,-1,-1,-1,-1
84,1,-1,1,1,-1,-1,-1,-1,-1
6,-1,1,1,1,-1,-1,-1,-1,-1
8,1,1,1,1,-1,-1,-1,-1,-1
599,-1,-1,-1,-1,1,-1,-1,-1,-1
68,1,-1,-1,-1,1,-1,-1,-1,-1
180,-1,1,-1,-1,1,-1,-1,-1,-1
5,1,1,-1,-1,1,-1,-1,-1,-1
8,-1,-1,1,-1,1,-1,-1,-1,-1
8,1,-1,1,-1,1,-1,-1,-1,-1
22,-1,1,1,-1,1,-1,-1,-1,-1
6,1,1,1,-1,1,-1,-1,-1,-1
199,-1,-1,-1,1,1,-1,-1,-1,-1
83,1,-1,-1,1,1,-1,-1,-1,-1
33,-1,1,-1,1,1,-1,-1,-1,-1
7,1,1,-1,1,1,-1,-1,-1,-1
2,-1,-1,1,1,1,-1,-1,-1,-1
12,1,-1,1,1,1,-1,-1,-1,-1
6,-1,1,1,1,1,-1,-1,-1,-1
13,1,1,1,1,1,-1,-1,-1,-1
635,-1,-1,-1,-1,-1,1,-1,-1,-1
59,1,-1,-1,-1,-1,1,-1,-1,-1
21,-1,1,-1,-1,-1,1,-1,-1,-1
102,-1,-1,1,-1,-1,1,-1,-1,-1
32,1,-1,1,-1,-1,1,-1,-1,-1
21,-1,1,1,-1,-1,1,-1,-1,-1
6,1,1,1,-1,-1,1,-1,-1,-1
170,-1,-1,-1,1,-1,1,-1,-1,-1
94,1,-1,-1,1,-1,1,-1,-1,-1
3,-1,1,-1,1,-1,1,-1,-1,-1
4,1,1,-1,1,-1,1,-1,-1,-1
19,-1,-1,1,1,-1,1,-1,-1,-1
80,1,-1,1,1,-1,1,-1,-1,-1
2,-1,1,1,1,-1,1,-1,-1,-1
2,1,1,1,1,-1,1,-1,-1,-1
70,-1,-1,-1,-1,1,1,-1,-1,-1
5,1,-1,-1,-1,1,1,-1,-1,-1
21,-1,1,-1,-1,1,1,-1,-1,-1
8,-1,-1,1,-1,1,1,-1,-1,-1
6,1,-1,1,-1,1,1,-1,-1,-1
23,-1,1,1,-1,1,1,-1,-1,-1
4,1,1,1,-1,1,1,-1,-1,-1
146,-1,-1,-1,1,1,1,-1,-1,-1
73,1,-1,-1,1,1,1,-1,-1,-1
35,-1,1,-1,1,1,1,-1,-1,-1
5,1,1,-1,1,1,1,-1,-1,-1
23,-1,-1,1,1,1,1,-1,-1,-1
